ROI,Foreground Blur Score,Background blur score,Brightness Score,Noise score,Simplicity score,Contrast score,Area Ratio,Rule of third score,Potrait mode,Landscape Mode
1,1314.985667,2268.924315,130.0130771,3.913930861,44.28877649,56.44384669,0.299146412,0.013180304,1,0
1,1937.548606,1039.078763,107.1727087,6.170166811,45.08457198,43.63378952,0.442097356,0.021196145,1,0
1,581.1029945,648.0288988,94.58625624,1.469594813,28.94554579,46.98829786,0.742538452,0.033331202,1,1
1,970.3519705,939.4667222,76.36152009,3.021492759,39.55715458,69.24732754,0.684509277,0.031098294,1,0
1,882.8648319,902.8672191,111.1373308,2.551233261,31.94279654,64.59697288,0.788504464,0.034638801,1,0
1,498.9952351,1168.561301,142.3654208,3.358708323,41.11854456,47.5998784,0.379373793,0.01822838,1,0
1,1482.221568,1418.251394,43.60934467,1.067748035,15.12907964,59.70323497,0.549709234,0.026053377,0,1
1,1387.750283,1176.7928,113.1305935,1.469979141,49.69237435,56.47059994,0.548940374,0.024995823,1,0
1,757.6622906,704.6688783,99.20651215,1.371035612,49.40415672,63.65718968,0.432870599,0.019088439,0,1
1,448.0794749,432.115167,69.3985671,0.585110878,49.07149199,54.20355125,0.924635722,0.039397664,0,1
1,1644.099435,1607.799599,18.0666877,0.81914587,13.23496366,15.91349228,0.513372545,0.022773743,0,1
1,292.578494,373.1040224,133.3623126,1.290639143,41.94405639,66.19518741,0.400459306,0.018372014,0,1
1,1339.504008,1443.49946,109.78026,0.798023889,28.76832054,50.50673498,0.579376221,0.025653221,1,1
1,281.8993801,2934.529163,114.9209109,7.053355941,42.97143847,79.46073457,0.259262085,0.010620961,0,1
1,1662.143737,1599.187277,23.87833205,2.305534619,16.34175976,21.17173192,0.555094162,0.024613446,0,1
1,954.7073171,824.4775693,77.83872068,2.917211883,49.26427494,39.58117173,0.789733887,0.033880577,1,1
1,862.0158081,844.3623115,77.23375304,1.171554862,52.2269777,35.41719913,0.607048035,0.027824734,1,1
1,1030.201832,1372.319183,85.68426883,3.551510452,11.24816556,58.35795078,0.187091552,0.008766146,0,1
1,1467.589774,1613.778968,85.55411357,4.824413547,13.03724998,52.43701636,0.347767066,0.016884082,1,0
1,1542.228065,1418.002405,120.3857701,1.862807341,30.5408118,65.27604801,0.427004636,0.019443611,1,0
1,927.1601561,1304.59977,90.91339121,2.435521461,28.3063078,61.4173725,0.257289441,0.011150826,0,1
1,856.792024,1062.254216,90.864327,1.459036809,19.00390847,47.10667892,0.000101539,4.67E-06,0,1
