ROI,Foreground Blur Score,Background blur score,Brightness Score,Noise score,Simplicity score,Contrast score,Area Ratio,Rule of third score,Potrait mode,Landscape Mode,Output
1,659.3372858,332.291482,122.8127869,1.398575246,54.21634885,59.23841277,0.475950732,0.020491488,0,1,1
1,1038.735186,1058.529409,131.1552782,3.201405826,55.8232939,78.47113934,0.329482076,0.015111395,0,1,0
1,444.0088542,428.8636311,93.98795976,0.62836006,39.71779149,35.65089051,0.638900981,0.02918831,0,1,0
1,644.6487995,707.2199863,90.50153766,0.518735889,14.80577168,40.53596183,0.084783723,0.004041635,1,0,0
1,179.0071527,24.09389424,97.03000538,1.8126328,33.65362921,59.05802345,0.959106445,0.040555373,1,1,0
1,5491.424296,122.2872611,199.8122747,7.355924584,19.24330166,55.93224936,0,0,1,0,1
1,846.720588,685.2251686,145.4538745,1.423532065,21.33707687,83.13559441,0.386051829,0.016730609,0,1,1
1,1232.200694,1413.710459,157.4808798,1.308327792,24.4575295,68.96256989,0.04800415,0.001951463,0,1,1
1,1156.429983,1236.490701,85.98573733,3.114142296,19.84135379,50.47979273,0.240244548,0.011043578,0,1,0
1,1202.405239,1223.114272,112.1511465,0.445335663,23.00238629,54.24957367,0.005844293,0.000234546,0,1,0
1,641.8086216,434.1164639,148.2068468,1.357730714,28.01976173,54.59493519,0.253433489,0.012256437,0,1,1
1,1010.805302,646.1067888,79.51871698,1.903720908,50.32278354,46.04468264,0.33553512,0.015611248,0,1,1
0,0,0,0,0,0,0,0,0,1,0,0
1,2502.220303,234.968865,155.7260215,4.551205911,31.23276646,89.13420352,0.520126343,0.023076095,1,1,1
1,97.92836038,63.21598576,205.6938653,0.649727376,6.838912804,52.26531398,0.352179276,0.015409219,0,1,0
1,780.7208747,469.9733774,146.0191153,1.266639338,29.55841929,58.53559483,0.301489637,0.014046835,0,1,1
0,0,0,0,0,0,0,0,0,1,0,0
1,1205.606048,991.3514657,66.13742517,1.607633464,26.25978935,60.59752357,0.299820548,0.013987997,0,1,1
1,542.9419393,444.4874834,139.6988292,1.165457262,31.80238369,77.67332723,0.351671325,0.015567997,0,1,1
1,330.3566275,238.7385159,185.5740621,0.629547215,26.54862745,66.31600517,0.303717376,0.014056311,0,1,1
1,586.1283514,750.0380217,118.7737968,0.933070421,45.5646997,55.47890815,0.393777017,0.018315276,0,1,0
1,794.9643756,2004.483824,121.2466955,3.557149258,30.62914058,77.96375703,0.200866699,0.009302152,0,1,1
1,1349.00026,692.75178,123.807497,2.120133143,67.33315194,60.72613023,0.308184956,0.013842788,0,1,1
1,2247.247532,1062.752558,75.31142451,3.124553427,31.47480811,47.0164653,0.0006663,2.64E-05,0,1,1
1,908.8186783,1269.115233,112.3953048,2.667557868,47.33741381,83.27313755,0.22930546,0.010099976,0,1,1
1,494.8451029,764.6860671,84.55807286,1.495728146,40.41366398,60.63616081,0.182240804,0.008837039,0,1,1
1,868.7841672,566.7347837,67.82296558,4.081501268,29.94160323,50.19992439,0.762954712,0.033442554,1,1,0
1,1944.860718,187.5112296,177.3392261,3.317550495,37.8011961,47.71489005,0.291969594,0.013387182,0,1,1
1,1732.702072,829.8996644,87.97045795,3.195842256,32.78523901,46.97627928,0.345126295,0.016654418,0,1,1
1,1553.391744,1984.585784,132.4640078,4.941450748,43.46407759,63.49067317,0.002507528,0.000110457,0,1,1
1,292.578494,373.1040224,133.3623126,1.290639143,41.94405639,66.19518741,0.400459306,0.018372014,0,1,0
1,490.4430214,511.7345223,152.0151297,0.817052447,37.66403005,59.75364276,0.297539406,0.014344402,1,0,0
1,943.107207,764.0460189,143.966771,2.100284166,27.59231077,54.95699501,0.203221639,0.008923225,0,1,1
1,432.9536502,130.4647895,207.1035166,1.769812081,31.14564567,46.01370549,0.291579118,0.013634533,0,1,1
1,329.4627087,161.2445949,173.7483422,2.665864884,35.53104997,46.90212615,0.670740685,0.030147451,0,1,0
1,498.4040632,391.1240555,176.6699212,2.367503189,17.20288279,34.78274539,0.260462443,0.011201336,0,1,1
1,1488.647081,1488.635242,81.34307876,1.941917691,27.02654358,38.75611629,0,0,1,0,0
1,1978.477151,485.9956727,140.64838,3.729750822,31.05269095,58.51308398,0.437748982,0.019518202,0,1,1
1,961.3420882,958.8986358,113.877665,0.2893969,55.20483064,33.46320413,0.419549578,0.018218513,0,1,0
1,1207.903087,125.9121777,163.9731642,2.991032157,40.98958124,62.44694641,0.414153874,0.019309517,0,1,1
1,751.7832627,206.050781,214.8369041,2.371110881,32.07244741,60.59579271,0.202535377,0.009683662,0,1,1
1,1151.752697,812.276293,102.9899154,2.018050012,38.19280108,41.28714784,9.16E-05,4.16E-06,0,1,1
1,468.02823,584.6928027,165.2003935,1.589788073,59.15668246,58.78319148,0.157476049,0.007668113,0,1,1
1,1156.334308,386.1767172,144.4627355,2.742280625,42.94075219,65.11121443,0.32392717,0.013876049,0,1,1
1,669.3071245,284.1266817,127.3026163,1.563685483,33.51762819,61.21509864,0.307837702,0.013426322,0,1,1
1,571.4222374,876.0997974,97.4870616,0.634633315,17.06339827,65.21411396,0.267719126,0.013113657,0,1,0
1,951.6995543,421.3071069,176.8343497,2.109739437,37.39406518,60.48490093,0.485865275,0.02181869,1,0,1
1,1193.034301,1222.79613,149.74859,1.823829463,29.62354414,75.52420422,0.249211629,0.011377566,0,1,1
1,1825.760207,1374.143811,19.0170771,1.193359496,10.97137298,29.84844476,0.346541755,0.016085463,0,1,0
1,1586.317489,1481.180832,120.8429937,3.696621267,32.11090101,49.97266495,0.557235308,0.023735936,0,1,1
1,554.9636911,317.2357153,193.7207264,1.206979996,28.2647852,72.20497221,0.356228582,0.016999497,0,1,1
1,1325.395103,648.9473294,114.8853468,2.500677958,53.03740329,72.99884746,0.361642986,0.016372846,0,1,1
1,358.5019931,355.4685245,147.244415,0.285947251,16.97531156,55.81614649,0.661668347,0.030340276,0,1,0
1,418.6156463,481.4262132,122.6363571,2.172429303,32.8508724,30.69982607,0.174972534,0.007990218,1,1,0
1,2464.885555,2618.191594,73.44804891,4.632019768,39.40878659,67.46408959,1.53E-05,6.08E-07,1,1,0
1,166.4013843,192.9154849,110.0428168,1.036484471,35.12497521,69.6357376,0.129007975,0.005527513,0,1,0
1,1337.004233,1249.966329,152.8491586,6.540291284,130.3206509,118.7690737,0.429982503,0.019381718,1,0,1
1,283.5705645,337.8585771,129.6918846,1.149907158,26.71652146,57.59348905,0.346058239,0.017188137,0,1,0
1,1022.287848,160.2024085,167.7307217,1.337616866,22.37831426,50.55994886,0.259618405,0.011717908,0,1,1
1,1116.668876,1146.700241,126.4889395,3.30253595,0,50.91890605,0.308343932,0.014346605,0,1,0
1,843.5819067,917.5426801,164.6920064,3.704099451,38.89653994,58.41081269,0.37097168,0.01637153,1,0,0
1,1089.253408,1448.561165,129.814651,4.641019307,36.97746331,51.57208199,0.362268249,0.016403551,0,1,0
1,625.8552714,425.353265,112.4453909,1.422267329,50.42242655,92.20584768,0.369942538,0.016359564,0,1,1
1,833.6283671,557.7827982,103.9615625,1.178968705,29.14283498,51.18158294,0.495587588,0.021703318,0,1,1
1,866.2654605,633.7082636,152.1309716,0.767221934,21.46566137,84.95547299,0.347870819,0.016148829,0,1,1
1,790.5842756,546.3088221,137.6875508,1.419051579,27.48847635,56.75989301,0.343451222,0.01508534,0,1,1
1,3110.686053,1890.83678,63.49304226,4.060316888,37.9141494,38.53783736,0.36456918,0.016465856,1,0,0
1,1400.104965,1420.16642,142.4759776,0.477104366,33.09813425,77.98917585,4.58E-05,1.82E-06,0,1,0
1,280.5369428,283.5098595,137.7371055,0.343184249,16.21399509,77.02036503,0.293489965,0.013667018,0,1,0
1,1076.961105,1678.436578,92.76132701,3.643368411,50.25625364,44.82463763,0.090583147,0.004059186,1,0,1
1,642.9307026,598.0262618,142.8172292,0.791785447,33.92165442,63.97556863,0.447106031,0.01978386,1,0,0
1,2007.794075,1426.128395,82.94925012,2.134517344,29.40046884,62.26252679,0.489825439,0.021978341,1,0,1
1,1160.620484,2458.712176,113.2035366,1.295555335,37.64386478,62.76870209,0.383865248,0.017473225,0,1,0
1,1245.489486,537.440637,132.6796856,1.941129064,53.87751602,91.42074446,0.33215332,0.015139742,1,0,1
1,632.1702393,481.1058044,167.3634057,2.587318039,52.95313554,68.96545313,0.34915516,0.015608847,0,1,1
1,1733.701522,1773.704776,61.91692792,2.50463383,52.97206733,28.42186452,0.596710205,0.027869731,1,1,0
1,1788.663062,2333.078474,121.1931591,5.40737532,23.62873902,72.29100846,0.204962158,0.008902337,1,0,1
1,431.1000484,782.8744641,168.8848969,0.933663521,7.750729659,63.82939331,0.007252301,0.000334379,0,1,0
1,1254.380804,1020.984929,80.72771138,1.390779664,23.9857818,36.23745753,0.313412095,0.013228977,0,1,1
1,2502.894817,4085.52616,41.68942826,2.729597301,43.44904944,37.16435703,0.818563772,0.035504246,1,0,0
1,720.4749953,209.4582196,178.0812306,2.448265236,23.79615671,39.38636465,0.308865946,0.014394884,0,1,1
