ROI,Foreground Blur Score,Background blur score,Brightness Score,Noise score,Simplicity score,Contrast score,Area Ratio,Rule of third score,Potrait mode,Landscape Mode,Output
1,719.407896,1091.333843,136.4369988,4.639671338,80.6562589,71.97437988,0.247252507,0.010885493,0,1,0
1,1037.137694,801.0921392,186.9744507,2.755710402,46.20329969,73.37982976,0.307532514,0.014494268,0,1,1
1,828.5982983,435.3779788,125.4882363,2.191964575,38.42312507,55.05149922,0.531649762,0.024765138,0,1,1
1,764.6846396,400.9261547,130.6386445,2.227426179,35.16336536,73.92129711,0.355581888,0.017103469,0,1,1
1,741.5442473,252.729438,165.4412669,1.921371666,33.30463032,51.59778837,0.031109053,0.001155896,0,1,1
1,951.8309714,406.5215843,132.9197773,2.700681844,27.7073825,53.64427247,0.434530101,0.018822538,0,1,1
1,1570.322107,1070.440031,91.46082099,1.810275404,30.03626577,64.60403733,0.381213379,0.016751399,1,0,1
1,644.6487995,707.2199863,90.50153766,0.518735889,14.80577168,40.53596183,0.084783723,0.004041635,1,0,0
1,283.5705645,337.8585771,129.6918846,1.149907158,26.71652146,57.59348905,0.346058239,0.017188137,0,1,0
1,490.8351662,483.1859904,163.4292176,0.815058346,11.11585981,60.56030844,0.001420455,5.06E-05,0,1,0
1,822.6240685,825.9357965,95.46913785,1.969889573,63.84017908,39.11204716,0.412414551,0.018944597,1,1,0
1,328.1839638,141.7462839,95.59009773,1.617336982,28.099495,49.45176014,0.905138838,0.038951816,0,1,0
1,1122.223803,827.422486,130.011772,1.719709306,33.64642564,44.79052094,0.439045516,0.020109887,0,1,1
1,1374.241225,1580.415664,90.1678082,3.27121099,37.52111239,50.2552341,0.001719916,8.43E-05,0,1,0
1,203.5807034,842.0807697,146.8296828,3.700140571,33.26297622,50.32860264,0.016894854,0.000789991,0,1,0
1,519.6851774,638.3770427,116.5588918,0.579131558,30.96193597,62.49554461,0.097452642,0.004357884,1,0,0
1,537.3198657,467.2635844,137.7579057,0.753613901,38.12583933,54.74220244,0.693366975,0.029651054,1,0,0
1,651.9753841,385.2128924,127.8218597,1.267749,35.96242396,50.37432803,0.319986224,0.013472302,0,1,1
1,1239.629726,707.2851826,189.7538102,1.548156151,29.21074301,53.62655451,0.227569422,0.009793047,0,1,1
1,1667.59874,1423.786235,116.7520993,9.902975511,37.38536416,53.46103432,0.52585241,0.023363047,0,1,0
1,1500.550634,1453.626912,53.25599256,0.509890203,13.85207257,53.72018907,0.577543218,0.026450938,0,1,0
1,852.2235368,441.6413153,153.0343672,1.449538929,42.369696,56.46420432,0.421982253,0.019267535,0,1,1
1,2834.922349,395.3632097,153.8390123,5.801876269,43.65284648,73.6871867,0.482406695,0.022606545,0,1,1
1,2007.794075,1426.128395,82.94925012,2.134517344,29.40046884,62.26252679,0.489825439,0.021978341,1,0,1
1,2697.056057,6700.683361,15.81312623,1.701973822,32.37722331,20.39613452,0.260633681,0.011465,1,0,0
1,2879.962252,1729.532384,74.02721485,6.051751685,48.56258725,76.28924189,0.558919271,0.02495552,1,0,0
1,735.2917316,1483.006433,55.02585826,0.615604608,21.1440735,39.53216297,0.099426091,0.004574221,0,1,0
1,1485.470388,1348.847689,34.94121534,2.210271945,93.33230781,18.23073484,0.752807617,0.032793873,1,1,0
1,1249.012094,1348.025321,49.43105897,0.953320848,25.91150956,30.23104602,0.504152538,0.022174154,0,1,0
1,1176.455289,1117.880622,77.02192612,3.183280362,42.52443234,50.03690667,0.350938305,0.015139021,0,1,1
1,1544.72118,963.2604564,73.8791608,1.808033173,118.1156841,32.61607551,0.447454637,0.02047078,0,1,1
1,1566.068756,626.2966499,111.6613449,2.799450634,52.50055393,61.12775149,0.523136481,0.022945585,1,0,1
1,870.8611047,1727.35202,94.48236073,1.133803945,15.76664975,103.5934679,0.002462885,9.94E-05,0,1,0
1,241.6824443,109.643888,187.7266999,0.704300682,19.20859819,42.5891014,0.315947815,0.014510082,0,1,1
1,956.2902029,928.8180889,107.6684923,0.997182771,25.78419189,78.21208055,0.813033353,0.036283819,0,1,0
1,1291.143796,1426.204426,47.59945205,0.819230172,31.10317599,31.89283551,0.430809508,0.019987491,0,1,0
1,334.3985868,221.8478827,165.6940728,0.764604202,35.2761146,56.64242011,0.449092742,0.019957819,0,1,1
1,1098.453692,192.4033938,179.6043211,1.623287919,17.26662923,70.11542341,0.307186276,0.015118891,0,1,1
1,2679.132707,320.3778452,179.2043458,3.827898365,30.64112634,39.98953447,0.502853985,0.022354093,0,1,1
1,1699.889494,1529.665683,53.14554935,1.788071345,24.08175545,41.20465684,0.64112854,0.028765964,1,1,0
1,1058.028635,326.1044523,174.0173291,2.489518537,38.19175317,70.69536641,0.598876953,0.026188051,1,0,1
1,969.2122472,784.8081352,105.4814483,1.240044061,31.23816107,70.49350251,0.445582491,0.019584373,0,1,1
1,5053.279944,2227.373899,120.2257653,8.988500732,22.84181217,67.15352011,0.367840485,0.017357884,0,1,1
1,580.1511981,263.6710776,136.6298935,1.083544599,19.6936186,63.72828861,0.358834448,0.015786969,0,1,1
